Day,High(F),Low(F),Precip.inch
2019-01-01,57.9,34.0,0.02
2019-01-02,39.9,30.2,0.00
2019-01-03,42.1,25.2,0.00
2019-01-04,44.1,23.2,0.08
2019-01-05,45.0,37.9,0.24
2019-01-06,48.9,31.1,0.00
2019-01-07,32.0,23.2,0.00
2019-01-08,39.0,30.2,0.26
2019-01-09,46.0,29.1,0.00
2019-01-10,36.0,28.2,0.00
2019-01-11,31.1,17.2,0.00
2019-01-12,32.0,15.3,0.01
2019-01-13,30.2,24.3,0.03
2019-01-14,34.0,17.2,0.00
2019-01-15,34.0,16.2,0.00
2019-01-16,36.0,18.1,0.00
2019-01-17,33.1,21.2,0.00
2019-01-18,34.0,26.2,0.03
2019-01-19,35.1,27.1,0.72
2019-01-20,37.9,12.2,0.70
2019-01-21,16.2,6.3,0.00
2019-01-22,30.2,9.1,0.00
2019-01-23,52.0,25.2,0.00
2019-01-24,57.9,30.2,1.48
2019-01-25,36.0,20.1,0.00
2019-01-26,35.1,15.3,0.00
2019-01-27,42.1,20.1,0.00
2019-01-28,32.0,18.1,0.00
2019-01-29,34.0,17.2,0.32
2019-01-30,28.2,0.1,0.00
2019-01-31,13.1,-6.9,0.00
2019-02-01,15.3,-1.8,0.02
2019-02-02,30.2,2.1,0.00
2019-02-03,48.0,13.1,0.00
2019-02-04,59.0,23.2,0.00
2019-02-05,63.0,30.2,0.00
2019-02-06,46.9,27.1,0.29
2019-02-07,46.0,37.0,0.00
2019-02-08,51.1,27.1,0.13
2019-02-09,31.1,16.2,0.00
2019-02-10,33.1,14.2,0.07
2019-02-11,33.1,26.2,0.14
2019-02-12,33.1,28.2,0.92
2019-02-13,39.0,32.0,0.02
2019-02-14,41.0,28.2,0.00
2019-02-15,61.0,33.1,0.00
2019-02-16,42.1,28.2,0.00
2019-02-17,34.0,20.1,0.07
2019-02-18,41.0,28.2,0.01
2019-02-19,35.1,21.2,0.00
2019-02-20,32.0,24.3,0.61
2019-02-21,48.9,31.1,0.00
